[2025-08-25 15:39:11] INFO - Epoch 13 | Train Loss (MSE): 1.2039 | Val Loss (MSE): 1.2254
[2025-08-25 15:39:17] INFO - Epoch 14 | Train Loss (MSE): 1.2013 | Val Loss (MSE): 1.2181
[2025-08-25 15:39:24] INFO - Epoch 15 | Train Loss (MSE): 1.1974 | Val Loss (MSE): 1.2226
[2025-08-25 15:39:31] INFO - Epoch 16 | Train Loss (MSE): 1.1969 | Val Loss (MSE): 1.2127
[2025-08-25 15:39:37] INFO - Epoch 17 | Train Loss (MSE): 1.1945 | Val Loss (MSE): 1.2117
[2025-08-25 15:39:44] INFO - Epoch 18 | Train Loss (MSE): 1.1930 | Val Loss (MSE): 1.2142
[2025-08-25 15:39:50] INFO - Epoch 19 | Train Loss (MSE): 1.1901 | Val Loss (MSE): 1.2089
[2025-08-25 15:39:57] INFO - Epoch 20 | Train Loss (MSE): 1.1898 | Val Loss (MSE): 1.2075
[2025-08-25 15:40:03] INFO - Epoch 21 | Train Loss (MSE): 1.1881 | Val Loss (MSE): 1.2048
[2025-08-25 15:40:10] INFO - Epoch 22 | Train Loss (MSE): 1.1855 | Val Loss (MSE): 1.2100
[2025-08-25 15:40:16] INFO - Epoch 23 | Train Loss (MSE): 1.1825 | Val Loss (MSE): 1.2050
[2025-08-25 15:40:23] INFO - Epoch 24 | Train Loss (MSE): 1.1824 | Val Loss (MSE): 1.2025
[2025-08-25 15:40:29] INFO - Epoch 25 | Train Loss (MSE): 1.1810 | Val Loss (MSE): 1.1996
[2025-08-25 15:40:36] INFO - Epoch 26 | Train Loss (MSE): 1.1790 | Val Loss (MSE): 1.2031
[2025-08-25 15:40:42] INFO - Epoch 27 | Train Loss (MSE): 1.1754 | Val Loss (MSE): 1.2022
[2025-08-25 15:40:49] INFO - Epoch 28 | Train Loss (MSE): 1.1726 | Val Loss (MSE): 1.2006
[2025-08-25 15:40:55] INFO - Epoch 29 | Train Loss (MSE): 1.1721 | Val Loss (MSE): 1.1975
[2025-08-25 15:41:02] INFO - Epoch 30 | Train Loss (MSE): 1.1707 | Val Loss (MSE): 1.1943
[2025-08-25 15:41:09] INFO - Epoch 31 | Train Loss (MSE): 1.1688 | Val Loss (MSE): 1.1935
[2025-08-25 15:41:15] INFO - Epoch 32 | Train Loss (MSE): 1.1656 | Val Loss (MSE): 1.1963
[2025-08-25 15:41:22] INFO - Epoch 33 | Train Loss (MSE): 1.1613 | Val Loss (MSE): 1.2021
[2025-08-25 15:41:28] INFO - Epoch 34 | Train Loss (MSE): 1.1591 | Val Loss (MSE): 1.2016
[2025-08-25 15:41:35] INFO - Epoch 35 | Train Loss (MSE): 1.1581 | Val Loss (MSE): 1.1971
[2025-08-25 15:41:41] INFO - Epoch 36 | Train Loss (MSE): 1.1591 | Val Loss (MSE): 1.1898
[2025-08-25 15:41:48] INFO - Epoch 37 | Train Loss (MSE): 1.1599 | Val Loss (MSE): 1.1887
[2025-08-25 15:41:55] INFO - Epoch 38 | Train Loss (MSE): 1.1598 | Val Loss (MSE): 1.1905
[2025-08-25 15:42:01] INFO - Epoch 39 | Train Loss (MSE): 1.1529 | Val Loss (MSE): 1.2206
[2025-08-25 15:42:08] INFO - Epoch 40 | Train Loss (MSE): 1.1514 | Val Loss (MSE): 1.2090
[2025-08-25 15:42:09] INFO - Validation MSE: 0.0237, RMSE: 0.1540,  MAE: 0.1163
[2025-08-25 15:42:09] INFO - Test MSE: 0.0193, RMSE: 0.1388, MAE: 0.1040
